 	LSOA.Code	LSOA.Name	LA.Code	LA.Name	Region	Estimated.number.of.households	Estimated.number.of.Fuel.Poor.Households	Proportion.of.households.fuel.poor....	
25445	E01026121	East Lindsey 007C	E07000137	East Lindsey	East Midlands	130	340	30.1	1129.5681063123
25447	E01026123	Lincoln 004B	E07000138	Lincoln	East Midlands	31	175	17	1029.4117647059
25457	E01026133	Lincoln 008A	E07000138	Lincoln	East Midlands	16	275	27.1	1014.7601476015
25471	E01026147	Lincoln 003C	E07000138	Lincoln	East Midlands	46	156	14.9	1046.9798657718
25477	E01026153	Lincoln 002A	E07000138	Lincoln	East Midlands	113	131	11.8	1110.1694915254
25506	E01026183	North Kesteven 007B	E07000139	North Kesteven	East Midlands	117	311	27.8	1118.7050359712
25511	E01026188	North Kesteven 004C	E07000139	North Kesteven	East Midlands	61	101	9.5	1063.1578947369
25541	E01026220	North Kesteven 013A	E07000139	North Kesteven	East Midlands	42	150	14.4	1041.6666666667
25542	E01026221	North Kesteven 009B	E07000139	North Kesteven	East Midlands	65	335	31.5	1063.4920634921
25553	E01026232	North Kesteven 010D	E07000139	North Kesteven	East Midlands	37	156	15.1	1033.1125827815
25555	E01026234	North Kesteven 011D	E07000139	North Kesteven	East Midlands	73	75	7	1071.4285714286
25600	E01026280	South Holland 010C	E07000140	South Holland	East Midlands	40	320	30.8	1038.961038961
25635	E01026316	South Kesteven 007D	E07000141	South Kesteven	East Midlands	59	296	28	1057.1428571429
25650	E01026331	South Kesteven 009B	E07000141	South Kesteven	East Midlands	65	277	26	1065.3846153846
25652	E01026333	South Kesteven 001D	E07000141	South Kesteven	East Midlands	36	241	23.3	1034.3347639485
25674	E01026355	South Kesteven 002C	E07000141	South Kesteven	East Midlands	20	182	17.9	1016.7597765363
25680	E01026361	South Kesteven 008D	E07000141	South Kesteven	East Midlands	146	285	24.8	1149.1935483871
25684	E01026365	South Kesteven 002D	E07000141	South Kesteven	East Midlands	13	226	22.3	1013.4529147982
25691	E01026372	West Lindsey 008A	E07000142	West Lindsey	East Midlands	53	191	18.2	1049.4505494506
25706	E01026387	West Lindsey 001C	E07000142	West Lindsey	East Midlands	115	374	33.5	1116.4179104478
25711	E01026392	West Lindsey 003D	E07000142	West Lindsey	East Midlands	208	430	32.9	1306.990881459
25716	E01026397	West Lindsey 009B	E07000142	West Lindsey	East Midlands	17	322	31.7	1015.7728706625
25730	E01026411	West Lindsey 005D	E07000142	West Lindsey	East Midlands	64	376	35.3	1065.1558073654
25745	E01026428	Breckland 003A	E07000143	Breckland	East of England	57	105	9.9	1060.6060606061
25783	E01026468	Breckland 016A	E07000143	Breckland	East of England	33	118	11.4	1035.0877192983
25785	E01026470	Breckland 016C	E07000143	Breckland	East of England	48	51	4.9	1040.8163265306
25855	E01026541	Broadland 009B	E07000144	Broadland	East of England	14	96	9.5	1010.5263157895
25926	E01026612	Great Yarmouth 010C	E07000145	Great Yarmouth	East of England	54	103	9.8	1051.0204081633
25998	E01026686	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	3	64	6.4	1000
26006	E01026694	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	66	239	22.4	1066.9642857143
26010	E01026698	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	17	135	13.3	1015.037593985
26034	E01026722	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	11	84	8.3	1012.0481927711
26039	E01026727	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	84	272	25.1	1083.6653386454
26042	E01026730	North Norfolk 008B	E07000147	North Norfolk	East of England	57	217	20.5	1058.5365853659
26045	E01026733	North Norfolk 006C	E07000147	North Norfolk	East of England	22	297	29.1	1020.618556701
26050	E01026738	North Norfolk 007A	E07000147	North Norfolk	East of England	71	251	23.4	1072.6495726496
26052	E01026740	North Norfolk 012A	E07000147	North Norfolk	East of England	74	335	31.2	1073.717948718
26055	E01026743	North Norfolk 004C	E07000147	North Norfolk	East of England	100	135	12.3	1097.5609756098
26074	E01026762	North Norfolk 005A	E07000147	North Norfolk	East of England	42	221	21.2	1042.4528301887
26092	E01026780	North Norfolk 009A	E07000147	North Norfolk	East of England	109	217	19.6	1107.1428571429
26108	E01026797	Norwich 001A	E07000148	Norwich	East of England	60	69	6.5	1061.5384615385
26134	E01026823	Norwich 007B	E07000148	Norwich	East of England	90	151	13.9	1086.3309352518
26158	E01026848	Norwich 015A	E07000148	Norwich	East of England	7	83	8.3	1000
26162	E01026853	Norwich 011B	E07000148	Norwich	East of England	1	100	10	1000
26201	E01026894	South Norfolk 012C	E07000149	South Norfolk	East of England	21	256	25.1	1019.9203187251
26204	E01026897	South Norfolk 011C	E07000149	South Norfolk	East of England	87	241	22.2	1085.5855855856
26239	E01026933	South Norfolk 007C	E07000149	South Norfolk	East of England	100	108	9.8	1102.0408163265
26402	E01027101	Kettering 011C	E07000153	Kettering	East Midlands	32	162	15.7	1031.847133758
26405	E01027104	Kettering 007A	E07000153	Kettering	East Midlands	116	197	17.6	1119.3181818182
26411	E01027110	Kettering 007B	E07000153	Kettering	East Midlands	132	166	14.7	1129.2517006803
26424	E01027124	Kettering 003B	E07000153	Kettering	East Midlands	22	202	19.8	1020.202020202
26426	E01027126	Kettering 003D	E07000153	Kettering	East Midlands	15	175	17.3	1011.5606936416
26431	E01027131	Kettering 009D	E07000153	Kettering	East Midlands	12	131	13	1007.6923076923
26452	E01027153	Northampton 021C	E07000154	Northampton	East Midlands	14	213	21	1014.2857142857
26504	E01027206	Northampton 031D	E07000154	Northampton	East Midlands	52	102	9.7	1051.5463917526
26521	E01027223	Northampton 025A	E07000154	Northampton	East Midlands	128	226	20	1130
26573	E01027276	South Northamptonshire 008A	E07000155	South Northamptonshire	East Midlands	65	142	13.3	1067.6691729323
26611	E01027315	Wellingborough 004C	E07000156	Wellingborough	East Midlands	84	172	15.9	1081.7610062893
26634	E01027338	Wellingborough 001D	E07000156	Wellingborough	East Midlands	13	176	17.4	1011.4942528736
26650	E01027354	Wellingborough 010E	E07000156	Wellingborough	East Midlands	75	172	16	1075
26767	E01027476	Northumberland 035A	E06000048	Northumberland	North East	139	239	20.9	1143.5406698565
26770	E01027479	Northumberland 019A	E06000048	Northumberland	North East	12	419	41.4	1012.077294686
26785	E01027494	Northumberland 035G	E06000048	Northumberland	North East	2	153	15.3	1000
26789	E01027498	Northumberland 038B	E06000048	Northumberland	North East	144	155	13.5	1148.1481481482
26859	E01027570	Craven 001D	E07000163	Craven	Yorkshire and The Humber	120	311	27.7	1122.7436823105
26861	E01027572	Craven 003C	E07000163	Craven	Yorkshire and The Humber	20	241	23.7	1016.8776371308
26870	E01027581	Craven 006C	E07000163	Craven	Yorkshire and The Humber	159	240	20.6	1165.0485436893
26879	E01027590	Hambleton 003A	E07000164	Hambleton	Yorkshire and The Humber	3	212	21.2	1000
26906	E01027618	Hambleton 002B	E07000164	Hambleton	Yorkshire and The Humber	65	294	27.6	1065.2173913044
26909	E01027621	Hambleton 009A	E07000164	Hambleton	Yorkshire and The Humber	21	159	15.6	1019.2307692308
27038	E01027750	Richmondshire 004B	E07000166	Richmondshire	Yorkshire and The Humber	23	101	9.9	1020.202020202
27064	E01027778	Ryedale 007B	E07000167	Ryedale	Yorkshire and The Humber	28	408	39.7	1027.7078085642
27075	E01027789	Ryedale 008E	E07000167	Ryedale	Yorkshire and The Humber	83	171	15.8	1082.2784810127
27122	E01027836	Scarborough 004E	E07000168	Scarborough	Yorkshire and The Humber	40	200	19.2	1041.6666666667
27126	E01027840	Scarborough 002C	E07000168	Scarborough	Yorkshire and The Humber	2	322	32.2	1000
27133	E01027847	Scarborough 006D	E07000168	Scarborough	Yorkshire and The Humber	14	330	32.6	1012.2699386503
27154	E01027868	Scarborough 010E	E07000168	Scarborough	Yorkshire and The Humber	177	280	23.4	1196.5811965812
27184	E01027898	Selby 004A	E07000169	Selby	Yorkshire and The Humber	22	144	14.1	1021.2765957447
27196	E01027910	Selby 005F	E07000169	Selby	Yorkshire and The Humber	123	163	14.5	1124.1379310345
27215	E01027929	Ashfield 013A	E07000170	Ashfield	East Midlands	71	142	13.3	1067.6691729323
27285	E01027999	Bassetlaw 002A	E07000171	Bassetlaw	East Midlands	17	200	19.7	1015.2284263959
27320	E01028034	Bassetlaw 003B	E07000171	Bassetlaw	East Midlands	31	237	23	1030.4347826087
27421	E01028137	Broxtowe 015C	E07000172	Broxtowe	East Midlands	5	44	4.4	1000
27622	E01028345	Newark and Sherwood 008A	E07000175	Newark and Sherwood	East Midlands	18	210	20.6	1019.4174757282
27630	E01028353	Newark and Sherwood 004D	E07000175	Newark and Sherwood	East Midlands	174	232	19.6	1183.6734693878
27696	E01028419	Rushcliffe 010B	E07000176	Rushcliffe	East Midlands	69	183	17.1	1070.1754385965
27807	E01028532	Oxford 013B	E07000178	Oxford	South East	4	115	11.5	1000
27857	E01028584	Oxford 003C	E07000178	Oxford	South East	101	163	14.8	1101.3513513514
27922	E01028652	South Oxfordshire 016C	E07000179	South Oxfordshire	South East	43	113	10.8	1046.2962962963
28071	E01028807	West Oxfordshire 010A	E07000181	West Oxfordshire	South East	5	56	5.6	1000
28204	E01028943	Shropshire 020C	E06000051	Shropshire	West Midlands	54	79	7.5	1053.3333333333
28206	E01028945	Shropshire 017D	E06000051	Shropshire	West Midlands	12	179	17.7	1011.2994350283
28207	E01028946	Shropshire 019A	E06000051	Shropshire	West Midlands	105	368	33.3	1105.1051051051
28220	E01028959	Shropshire 024D	E06000051	Shropshire	West Midlands	71	292	27.3	1069.5970695971
28248	E01028987	Shropshire 019D	E06000051	Shropshire	West Midlands	36	201	19.4	1036.0824742268
28258	E01028997	Shropshire 032B	E06000051	Shropshire	West Midlands	53	248	23.6	1050.8474576271
28259	E01028998	Shropshire 032C	E06000051	Shropshire	West Midlands	81	265	24.5	1081.6326530612
28264	E01029003	Shropshire 037B	E06000051	Shropshire	West Midlands	15	486	47.9	1014.6137787056
28278	E01029019	Mendip 013A	E07000187	Mendip	South West	10	307	30.4	1009.8684210526
28320	E01029063	Mendip 009B	E07000187	Mendip	South West	28	91	8.9	1022.4719101124
28365	E01029110	Sedgemoor 009C	E07000188	Sedgemoor	South West	28	120	11.7	1025.641025641
28367	E01029112	Sedgemoor 009E	E07000188	Sedgemoor	South West	32	165	16	1031.25
28395	E01029140	Sedgemoor 002F	E07000188	Sedgemoor	South West	169	183	15.6	1173.0769230769
28406	E01029153	South Somerset 024A	E07000189	South Somerset	South West	103	409	37.1	1102.4258760108
28424	E01029171	South Somerset 023B	E07000189	South Somerset	South West	24	151	14.8	1020.2702702703
28447	E01029194	South Somerset 019B	E07000189	South Somerset	South West	112	135	12.1	1115.7024793389
28474	E01029221	South Somerset 001C	E07000189	South Somerset	South West	58	453	42.9	1055.9440559441
28483	E01029230	South Somerset 024D	E07000189	South Somerset	South West	20	371	36.4	1019.2307692308
28487	E01029234	South Somerset 015B	E07000189	South Somerset	South West	20	156	15.3	1019.6078431373
28537	E01029285	Taunton Deane 007A	E07000190	Taunton Deane	South West	98	186	16.9	1100.5917159763
28553	E01029301	Taunton Deane 010D	E07000190	Taunton Deane	South West	49	171	16.3	1049.0797546012
28566	E01029314	Taunton Deane 013D	E07000190	Taunton Deane	South West	91	158	14.5	1089.6551724138
28573	E01029321	Taunton Deane 003C	E07000190	Taunton Deane	South West	5	354	35.3	1002.8328611898
28579	E01029328	West Somerset 005B	E07000191	West Somerset	South West	4	287	28.6	1003.4965034965
28581	E01029330	West Somerset 001D	E07000191	West Somerset	South West	22	239	23.4	1021.3675213675
28586	E01029336	West Somerset 002D	E07000191	West Somerset	South West	20	380	37.3	1018.7667560322
28645	E01029397	Cannock Chase 013D	E07000192	Cannock Chase	West Midlands	29	112	10.9	1027.5229357798
28726	E01029479	Lichfield 002C	E07000194	Lichfield	West Midlands	15	92	9.1	1010.989010989
28764	E01029518	Lichfield 007D	E07000194	Lichfield	West Midlands	91	124	11.4	1087.7192982456
28801	E01029556	Newcastle-under-Lyme 005E	E07000195	Newcastle-under-Lyme	West Midlands	85	199	18.3	1087.4316939891
28815	E01029570	Newcastle-under-Lyme 016B	E07000195	Newcastle-under-Lyme	West Midlands	14	290	28.6	1013.986013986
28945	E01029701	Stafford 010E	E07000197	Stafford	West Midlands	109	275	24.8	1108.8709677419
29079	E01029835	Tamworth 002A	E07000199	Tamworth	West Midlands	31	144	14	1028.5714285714
29136	E01029893	Babergh 004B	E07000200	Babergh	East of England	5	116	11.6	1000
29144	E01029901	Babergh 003B	E07000200	Babergh	East of England	15	149	14.7	1013.6054421769
29169	E01029927	Forest Heath 001B	E07000201	Forest Heath	East of England	6	86	8.6	1000
29171	E01029929	Forest Heath 001D	E07000201	Forest Heath	East of England	8	87	8.6	1011.6279069768
29182	E01029947	Forest Heath 004E	E07000201	Forest Heath	East of England	57	86	8.1	1061.7283950617
29217	E01029985	Ipswich 010B	E07000202	Ipswich	East of England	66	158	14.8	1067.5675675676
29254	E01030024	Ipswich 006C	E07000202	Ipswich	East of England	49	179	17.1	1046.783625731
29278	E01030048	Mid Suffolk 007A	E07000203	Mid Suffolk	East of England	17	227	22.3	1017.937219731
29311	E01030082	Mid Suffolk 003B	E07000203	Mid Suffolk	East of England	124	301	26.8	1123.1343283582
29334	E01030106	St Edmundsbury 014B	E07000204	St Edmundsbury	East of England	10	58	5.7	1017.5438596491
29378	E01030152	Suffolk Coastal 004A	E07000205	Suffolk Coastal	East of England	30	190	18.5	1027.027027027
29401	E01030179	Suffolk Coastal 009A	E07000205	Suffolk Coastal	East of England	4	50	5	1000
29431	E01030211	Suffolk Coastal 008D	E07000205	Suffolk Coastal	East of England	93	176	16.1	1093.1677018634
29578	E01030359	Elmbridge 007C	E07000207	Elmbridge	South East	53	89	8.5	1047.0588235294
29619	E01030401	Epsom and Ewell 005C	E07000208	Epsom and Ewell	South East	16	83	8.2	1012.1951219512
29629	E01030411	Epsom and Ewell 008B	E07000208	Epsom and Ewell	South East	77	91	8.4	1083.3333333333
29742	E01030524	Mole Valley 008A	E07000210	Mole Valley	South East	14	100	9.9	1010.101010101
29787	E01030569	Reigate and Banstead 004E	E07000211	Reigate and Banstead	South East	26	91	8.9	1022.4719101124
30067	E01030850	Tandridge 004D	E07000215	Tandridge	South East	32	59	5.7	1035.0877192983
30207	E01030991	Woking 008D	E07000217	Woking	South East	32	42	4.1	1024.3902439024
30379	E01031168	Rugby 006B	E07000220	Rugby	West Midlands	130	182	16.1	1130.4347826087
30423	E01031212	Stratford-on-Avon 014B	E07000221	Stratford-on-Avon	West Midlands	85	244	22.5	1084.4444444445
30441	E01031231	Stratford-on-Avon 009D	E07000221	Stratford-on-Avon	West Midlands	3	129	12.9	1000
30478	E01031268	Warwick 014D	E07000222	Warwick	West Midlands	61	115	10.8	1064.8148148148
30494	E01031285	Warwick 007C	E07000222	Warwick	West Midlands	21	130	12.7	1023.6220472441
30564	E01031356	Adur 005A	E07000223	Adur	South East	36	71	6.9	1028.9855072464
30565	E01031357	Adur 005B	E07000223	Adur	South East	36	66	6.4	1031.25
30596	E01031388	Arun 005A	E07000224	Arun	South East	65	90	8.5	1058.8235294118
30685	E01031477	Chichester 006A	E07000225	Chichester	South East	2	191	19.1	1000
30691	E01031483	Chichester 008B	E07000225	Chichester	South East	6	67	6.7	1000
30717	E01031509	Chichester 006D	E07000225	Chichester	South East	4	123	12.3	1000
30881	E01031676	Horsham 001D	E07000227	Horsham	South East	53	214	20.3	1054.1871921182
30991	E01031787	Worthing 011A	E07000229	Worthing	South East	86	133	12.2	1090.1639344262
30992	E01031788	Worthing 011B	E07000229	Worthing	South East	12	123	12.2	1008.1967213115
30993	E01031789	Worthing 011C	E07000229	Worthing	South East	26	123	12	1025
30995	E01031791	Worthing 008A	E07000229	Worthing	South East	3	132	13.2	1000
31058	E01031854	Wiltshire 026B	E06000054	Wiltshire	South West	53	131	12.5	1048
31065	E01031861	Wiltshire 019A	E06000054	Wiltshire	South West	53	133	12.6	1055.5555555556
31101	E01031900	Wiltshire 016A	E06000054	Wiltshire	South West	75	86	8	1075
31104	E01031903	Wiltshire 016D	E06000054	Wiltshire	South West	28	93	9.1	1021.978021978
31151	E01031952	Wiltshire 018F	E06000054	Wiltshire	South West	125	136	12.1	1123.9669421488
31202	E01032004	Wiltshire 054B	E06000054	Wiltshire	South West	36	255	24.6	1036.5853658537
31209	E01032011	Wiltshire 057B	E06000054	Wiltshire	South West	55	132	12.5	1056
31281	E01032084	Wiltshire 037C	E06000054	Wiltshire	South West	120	222	19.8	1121.2121212121
31291	E01032094	Wiltshire 035C	E06000054	Wiltshire	South West	42	130	12.5	1040
31314	E01032117	Wiltshire 040C	E06000054	Wiltshire	South West	47	103	9.8	1051.0204081633
31326	E01032130	Bromsgrove 013A	E07000234	Bromsgrove	West Midlands	122	161	14.3	1125.8741258741
31353	E01032157	Bromsgrove 011B	E07000234	Bromsgrove	West Midlands	13	108	10.7	1009.3457943925
31485	E01032295	Worcester 013C	E07000237	Worcester	West Midlands	133	230	20.3	1133.0049261084
31533	E01032343	Wychavon 014A	E07000238	Wychavon	West Midlands	112	190	17.1	1111.1111111111
31549	E01032359	Wychavon 003A	E07000238	Wychavon	West Midlands	15	132	13	1015.3846153846
31640	E01032450	Wyre Forest 004D	E07000239	Wyre Forest	West Midlands	78	171	15.9	1075.4716981132
31682	E01032492	Leeds 102I	E08000035	Leeds	Yorkshire and The Humber	22	194	19	1021.052631579
31710	E01032520	Nottingham 028E	E06000018	Nottingham	East Midlands	76	226	21	1076.1904761905
31711	E01032522	Nottingham 028F	E06000018	Nottingham	East Midlands	19	266	26.1	1019.1570881226
31720	E01032531	Coventry 036E	E08000026	Coventry	West Midlands	123	184	16.4	1121.9512195122
31737	E01032550	Barnsley 010G	E08000016	Barnsley	Yorkshire and The Humber	182	190	15.8	1202.5316455696
31738	E01032551	Barnsley 010H	E08000016	Barnsley	Yorkshire and The Humber	110	167	15	1113.3333333333
31828	E01032642	West Dorset 001H	E07000052	West Dorset	South West	54	128	12.2	1049.1803278689
31869	E01032683	West Lindsey 001G	E07000142	West Lindsey	East Midlands	21	182	17.8	1022.4719101124
31885	E01032699	Wiltshire 007I	E06000054	Wiltshire	South West	29	107	10.4	1028.8461538462
31999	E01032830	Tonbridge and Malling 002G	E07000115	Tonbridge and Malling	South East	10	68	6.7	1014.9253731343
32067	E01032903	Wirral 010F	E08000015	Wirral	North West	68	242	22.7	1066.0792951542
32081	E01032922	Oldham 020E	E08000004	Oldham	North West	60	123	11.6	1060.3448275862
32082	E01032923	Calderdale 008F	E08000033	Calderdale	Yorkshire and The Humber	147	240	20.9	1148.3253588517
32089	E01032930	Cheshire West and Chester 033E	E06000050	Cheshire West and Chester	North West	109	154	13.9	1107.9136690648
32113	E01032954	West Oxfordshire 004G	E07000181	West Oxfordshire	South East	129	144	12.7	1133.8582677165
32161	E01033003	Leeds 055G	E08000035	Leeds	Yorkshire and The Humber	129	275	24.3	1131.6872427984
32163	E01033006	Leeds 063E	E08000035	Leeds	Yorkshire and The Humber	44	416	39.9	1042.6065162907
32202	E01033051	Tendring 002F	E07000076	Tendring	East of England	84	127	11.7	1085.4700854701
32223	E01033072	Lancaster 016I	E07000121	Lancaster	North West	59	167	15.8	1056.9620253165
32231	E01033080	Bath and North East Somerset 0	E06000022	Bath and North East Somerset	South West	195	268	21.9	1223.7442922375
32292	E01033143	Chelmsford 018E	E07000070	Chelmsford	East of England	162	182	15.6	1166.6666666667
32342	E01033203	County Durham 053E	E06000047	County Durham	North East	198	243	19.8	1227.2727272727
32354	E01033216	Stoke-on-Trent 016G	E06000021	Stoke-on-Trent	West Midlands	153	213	18.4	1157.6086956522
32367	E01033233	Exeter 001F	E07000041	Exeter	South West	10	183	18.1	1011.0497237569
32372	E01033239	Isle of Wight 012H	E06000046	Isle of Wight	South East	133	143	12.6	1134.9206349206
32389	E01033257	Newcastle-under-Lyme 015H	E07000195	Newcastle-under-Lyme	West Midlands	87	96	8.8	1090.9090909091
32400	E01033268	Sheffield 075G	E08000019	Sheffield	Yorkshire and The Humber	74	188	17.5	1074.2857142857
32411	E01033279	Sheffield 076F	E08000019	Sheffield	Yorkshire and The Humber	39	149	14.4	1034.7222222222
32413	E01033281	Rossendale 004G	E07000125	Rossendale	North West	101	203	18.4	1103.2608695652
32419	E01033289	Cornwall 007E	E06000052	Cornwall	South West	36	342	33	1036.3636363636
32422	E01033294	Cornwall 034E	E06000052	Cornwall	South West	50	63	6	1050
32500	E01033404	Nottingham 028G	E06000018	Nottingham	East Midlands	205	467	37.3	1252.0107238606
32504	E01033408	Nottingham 031H	E06000018	Nottingham	East Midlands	37	374	36.1	1036.0110803324
32508	E01033412	Broxtowe 016F	E07000172	Broxtowe	East Midlands	30	138	13.4	1029.8507462687
32544	E01033450	Suffolk Coastal 013G	E07000205	Suffolk Coastal	East of England	106	122	11	1109.0909090909
32562	E01033468	Middlesbrough 001G	E06000002	Middlesbrough	North East	202	281	22.8	1232.4561403509
32566	E01033472	Redcar and Cleveland 019G	E06000003	Redcar and Cleveland	North East	43	136	13.1	1038.1679389313
32571	E01033477	Stockton-on-Tees 014G	E06000004	Stockton-on-Tees	North East	111	363	32.7	1110.0917431193
32613	E01033528	Shropshire 006H	E06000051	Shropshire	West Midlands	27	59	5.8	1017.2413793104
32627	E01033542	Kirklees 017E	E08000034	Kirklees	Yorkshire and The Humber	17	226	22.2	1018.018018018
32640	E01033562	Birmingham 087F	E08000025	Birmingham	West Midlands	24	216	21.1	1023.6966824645
32701	E01033625	Birmingham 138D	E08000025	Birmingham	West Midlands	47	97	9.3	1043.0107526882
32705	E01033629	Birmingham 106F	E08000025	Birmingham	West Midlands	45	168	16.1	1043.4782608696
32729	E01033653	Manchester 055B	E08000003	Manchester	North West	24	70	6.8	1029.4117647059
32742	E01033666	Manchester 017F	E08000003	Manchester	North West	89	181	16.6	1090.3614457831
32792	E01033716	Northumberland 013F	E06000048	Northumberland	North East	32	163	15.8	1031.6455696203
32825	E01033749	Liverpool 042F	E08000012	Liverpool	North West	37	449	43.3	1036.9515011547
32840	E01033764	Liverpool 022E	E08000012	Liverpool	North West	154	207	17.9	1156.4245810056
