"LSOA.Code"	"LSOA.Name"	"LA.Code"	"LA.Name"	"Region"	"Estimated.number.of.households"	"Estimated.number.of.Fuel.Poor.Households"	"Proportion.of.households.fuel.poor...."
"25407"	"E01026082"	"East Lindsey 007B"	"E07000137"	"East Lindsey"	"East Midlands"	29	157	15.3
"25427"	"E01026103"	"East Lindsey 006A"	"E07000137"	"East Lindsey"	"East Midlands"	30	109	10.6
"25432"	"E01026108"	"East Lindsey 003G"	"E07000137"	"East Lindsey"	"East Midlands"	71	145	13.5
"25447"	"E01026123"	"Lincoln 004B"	"E07000138"	"Lincoln"	"East Midlands"	31	140	13.6
"25457"	"E01026133"	"Lincoln 008A"	"E07000138"	"Lincoln"	"East Midlands"	16	234	23.1
"25471"	"E01026147"	"Lincoln 003C"	"E07000138"	"Lincoln"	"East Midlands"	46	117	11.2
"25506"	"E01026183"	"North Kesteven 007B"	"E07000139"	"North Kesteven"	"East Midlands"	117	179	16
"25511"	"E01026188"	"North Kesteven 004C"	"E07000139"	"North Kesteven"	"East Midlands"	61	79	7.5
"25541"	"E01026220"	"North Kesteven 013A"	"E07000139"	"North Kesteven"	"East Midlands"	42	83	8
"25542"	"E01026221"	"North Kesteven 009B"	"E07000139"	"North Kesteven"	"East Midlands"	65	177	16.6
"25553"	"E01026232"	"North Kesteven 010D"	"E07000139"	"North Kesteven"	"East Midlands"	37	108	10.4
"25600"	"E01026280"	"South Holland 010C"	"E07000140"	"South Holland"	"East Midlands"	40	108	10.4
"25635"	"E01026316"	"South Kesteven 007D"	"E07000141"	"South Kesteven"	"East Midlands"	59	165	15.6
"25650"	"E01026331"	"South Kesteven 009B"	"E07000141"	"South Kesteven"	"East Midlands"	65	187	17.6
"25652"	"E01026333"	"South Kesteven 001D"	"E07000141"	"South Kesteven"	"East Midlands"	36	137	13.2
"25674"	"E01026355"	"South Kesteven 002C"	"E07000141"	"South Kesteven"	"East Midlands"	20	91	8.9
"25680"	"E01026361"	"South Kesteven 008D"	"E07000141"	"South Kesteven"	"East Midlands"	146	154	13.4
"25684"	"E01026365"	"South Kesteven 002D"	"E07000141"	"South Kesteven"	"East Midlands"	13	107	10.6
"25691"	"E01026372"	"West Lindsey 008A"	"E07000142"	"West Lindsey"	"East Midlands"	53	92	8.7
"25706"	"E01026387"	"West Lindsey 001C"	"E07000142"	"West Lindsey"	"East Midlands"	115	159	14.2
"25716"	"E01026397"	"West Lindsey 009B"	"E07000142"	"West Lindsey"	"East Midlands"	17	144	14.2
"25730"	"E01026411"	"West Lindsey 005D"	"E07000142"	"West Lindsey"	"East Midlands"	64	184	17.3
"25745"	"E01026428"	"Breckland 003A"	"E07000143"	"Breckland"	"East of England"	57	85	8
"25783"	"E01026468"	"Breckland 016A"	"E07000143"	"Breckland"	"East of England"	33	109	10.6
"25855"	"E01026541"	"Broadland 009B"	"E07000144"	"Broadland"	"East of England"	14	82	8.1
"25926"	"E01026612"	"Great Yarmouth 010C"	"E07000145"	"Great Yarmouth"	"East of England"	54	72	6.8
"25998"	"E01026686"	"King's Lynn and West Norfolk 0"	"E07000146"	"King's Lynn and West Norfolk"	"East of England"	3	34	3.4
"26006"	"E01026694"	"King's Lynn and West Norfolk 0"	"E07000146"	"King's Lynn and West Norfolk"	"East of England"	66	151	14.2
"26010"	"E01026698"	"King's Lynn and West Norfolk 0"	"E07000146"	"King's Lynn and West Norfolk"	"East of England"	17	111	10.9
"26034"	"E01026722"	"King's Lynn and West Norfolk 0"	"E07000146"	"King's Lynn and West Norfolk"	"East of England"	11	48	4.8
"26039"	"E01026727"	"King's Lynn and West Norfolk 0"	"E07000146"	"King's Lynn and West Norfolk"	"East of England"	84	129	11.9
"26042"	"E01026730"	"North Norfolk 008B"	"E07000147"	"North Norfolk"	"East of England"	57	86	8.1
"26045"	"E01026733"	"North Norfolk 006C"	"E07000147"	"North Norfolk"	"East of England"	22	150	14.7
"26050"	"E01026738"	"North Norfolk 007A"	"E07000147"	"North Norfolk"	"East of England"	71	119	11.1
"26052"	"E01026740"	"North Norfolk 012A"	"E07000147"	"North Norfolk"	"East of England"	74	155	14.4
"26055"	"E01026743"	"North Norfolk 004C"	"E07000147"	"North Norfolk"	"East of England"	100	111	10.1
"26074"	"E01026762"	"North Norfolk 005A"	"E07000147"	"North Norfolk"	"East of England"	42	114	11
"26092"	"E01026780"	"North Norfolk 009A"	"E07000147"	"North Norfolk"	"East of England"	109	135	12.2
"26108"	"E01026797"	"Norwich 001A"	"E07000148"	"Norwich"	"East of England"	60	75	7.1
"26134"	"E01026823"	"Norwich 007B"	"E07000148"	"Norwich"	"East of England"	90	104	9.5
"26158"	"E01026848"	"Norwich 015A"	"E07000148"	"Norwich"	"East of England"	7	60	6
"26162"	"E01026853"	"Norwich 011B"	"E07000148"	"Norwich"	"East of England"	1	107	10.7
"26201"	"E01026894"	"South Norfolk 012C"	"E07000149"	"South Norfolk"	"East of England"	21	116	11.4
"26204"	"E01026897"	"South Norfolk 011C"	"E07000149"	"South Norfolk"	"East of England"	87	88	8.1
"26402"	"E01027101"	"Kettering 011C"	"E07000153"	"Kettering"	"East Midlands"	32	111	10.8
"26405"	"E01027104"	"Kettering 007A"	"E07000153"	"Kettering"	"East Midlands"	116	170	15.2
"26424"	"E01027124"	"Kettering 003B"	"E07000153"	"Kettering"	"East Midlands"	22	164	16.1
"26426"	"E01027126"	"Kettering 003D"	"E07000153"	"Kettering"	"East Midlands"	15	121	11.9
"26431"	"E01027131"	"Kettering 009D"	"E07000153"	"Kettering"	"East Midlands"	12	96	9.5
"26452"	"E01027153"	"Northampton 021C"	"E07000154"	"Northampton"	"East Midlands"	14	155	15.3
"26504"	"E01027206"	"Northampton 031D"	"E07000154"	"Northampton"	"East Midlands"	52	70	6.7
"26521"	"E01027223"	"Northampton 025A"	"E07000154"	"Northampton"	"East Midlands"	128	153	13.6
"26573"	"E01027276"	"South Northamptonshire 008A"	"E07000155"	"South Northamptonshire"	"East Midlands"	65	96	9
"26611"	"E01027315"	"Wellingborough 004C"	"E07000156"	"Wellingborough"	"East Midlands"	84	138	12.7
"26634"	"E01027338"	"Wellingborough 001D"	"E07000156"	"Wellingborough"	"East Midlands"	13	110	10.9
"26650"	"E01027354"	"Wellingborough 010E"	"E07000156"	"Wellingborough"	"East Midlands"	75	132	12.3
"26770"	"E01027479"	"Northumberland 019A"	"E06000048"	"Northumberland"	"North East"	12	200	19.8
"26785"	"E01027494"	"Northumberland 035G"	"E06000048"	"Northumberland"	"North East"	2	68	6.8
"26859"	"E01027570"	"Craven 001D"	"E07000163"	"Craven"	"Yorkshire and The Humber"	120	121	10.8
"26861"	"E01027572"	"Craven 003C"	"E07000163"	"Craven"	"Yorkshire and The Humber"	20	127	12.5
"26879"	"E01027590"	"Hambleton 003A"	"E07000164"	"Hambleton"	"Yorkshire and The Humber"	3	93	9.3
"26906"	"E01027618"	"Hambleton 002B"	"E07000164"	"Hambleton"	"Yorkshire and The Humber"	65	94	8.8
"26909"	"E01027621"	"Hambleton 009A"	"E07000164"	"Hambleton"	"Yorkshire and The Humber"	21	67	6.6
"27038"	"E01027750"	"Richmondshire 004B"	"E07000166"	"Richmondshire"	"Yorkshire and The Humber"	23	70	6.8
"27064"	"E01027778"	"Ryedale 007B"	"E07000167"	"Ryedale"	"Yorkshire and The Humber"	28	147	14.3
"27075"	"E01027789"	"Ryedale 008E"	"E07000167"	"Ryedale"	"Yorkshire and The Humber"	83	89	8.2
"27122"	"E01027836"	"Scarborough 004E"	"E07000168"	"Scarborough"	"Yorkshire and The Humber"	40	83	8
"27126"	"E01027840"	"Scarborough 002C"	"E07000168"	"Scarborough"	"Yorkshire and The Humber"	2	141	14.1
"27133"	"E01027847"	"Scarborough 006D"	"E07000168"	"Scarborough"	"Yorkshire and The Humber"	14	227	22.4
"27184"	"E01027898"	"Selby 004A"	"E07000169"	"Selby"	"Yorkshire and The Humber"	22	74	7.2
"27215"	"E01027929"	"Ashfield 013A"	"E07000170"	"Ashfield"	"East Midlands"	71	102	9.5
"27285"	"E01027999"	"Bassetlaw 002A"	"E07000171"	"Bassetlaw"	"East Midlands"	17	104	10.2
"27320"	"E01028034"	"Bassetlaw 003B"	"E07000171"	"Bassetlaw"	"East Midlands"	31	115	11.2
"27421"	"E01028137"	"Broxtowe 015C"	"E07000172"	"Broxtowe"	"East Midlands"	5	38	3.8
"27622"	"E01028345"	"Newark and Sherwood 008A"	"E07000175"	"Newark and Sherwood"	"East Midlands"	18	131	12.9
"27696"	"E01028419"	"Rushcliffe 010B"	"E07000176"	"Rushcliffe"	"East Midlands"	69	114	10.7
"27807"	"E01028532"	"Oxford 013B"	"E07000178"	"Oxford"	"South East"	4	140	14
"27857"	"E01028584"	"Oxford 003C"	"E07000178"	"Oxford"	"South East"	101	151	13.7
"27922"	"E01028652"	"South Oxfordshire 016C"	"E07000179"	"South Oxfordshire"	"South East"	43	103	9.9
"28071"	"E01028807"	"West Oxfordshire 010A"	"E07000181"	"West Oxfordshire"	"South East"	5	45	4.5
"28204"	"E01028943"	"Shropshire 020C"	"E06000051"	"Shropshire"	"West Midlands"	54	64	6.1
"28206"	"E01028945"	"Shropshire 017D"	"E06000051"	"Shropshire"	"West Midlands"	12	161	15.9
"28207"	"E01028946"	"Shropshire 019A"	"E06000051"	"Shropshire"	"West Midlands"	105	268	24.3
"28220"	"E01028959"	"Shropshire 024D"	"E06000051"	"Shropshire"	"West Midlands"	71	163	15.2
"28248"	"E01028987"	"Shropshire 019D"	"E06000051"	"Shropshire"	"West Midlands"	36	183	17.7
"28258"	"E01028997"	"Shropshire 032B"	"E06000051"	"Shropshire"	"West Midlands"	53	152	14.4
"28259"	"E01028998"	"Shropshire 032C"	"E06000051"	"Shropshire"	"West Midlands"	81	141	13
"28264"	"E01029003"	"Shropshire 037B"	"E06000051"	"Shropshire"	"West Midlands"	15	348	34.3
"28278"	"E01029019"	"Mendip 013A"	"E07000187"	"Mendip"	"South West"	10	114	11.3
"28320"	"E01029063"	"Mendip 009B"	"E07000187"	"Mendip"	"South West"	28	46	4.5
"28365"	"E01029110"	"Sedgemoor 009C"	"E07000188"	"Sedgemoor"	"South West"	28	68	6.6
"28367"	"E01029112"	"Sedgemoor 009E"	"E07000188"	"Sedgemoor"	"South West"	32	101	9.8
"28406"	"E01029153"	"South Somerset 024A"	"E07000189"	"South Somerset"	"South West"	103	147	13.3
"28424"	"E01029171"	"South Somerset 023B"	"E07000189"	"South Somerset"	"South West"	24	91	8.9
"28474"	"E01029221"	"South Somerset 001C"	"E07000189"	"South Somerset"	"South West"	58	158	14.9
"28483"	"E01029230"	"South Somerset 024D"	"E07000189"	"South Somerset"	"South West"	20	144	14.1
"28487"	"E01029234"	"South Somerset 015B"	"E07000189"	"South Somerset"	"South West"	20	90	8.8
"28537"	"E01029285"	"Taunton Deane 007A"	"E07000190"	"Taunton Deane"	"South West"	98	130	11.8
"28553"	"E01029301"	"Taunton Deane 010D"	"E07000190"	"Taunton Deane"	"South West"	49	91	8.7
"28573"	"E01029321"	"Taunton Deane 003C"	"E07000190"	"Taunton Deane"	"South West"	5	138	13.7
"28579"	"E01029328"	"West Somerset 005B"	"E07000191"	"West Somerset"	"South West"	4	134	13.4
"28581"	"E01029330"	"West Somerset 001D"	"E07000191"	"West Somerset"	"South West"	22	109	10.7
"28586"	"E01029336"	"West Somerset 002D"	"E07000191"	"West Somerset"	"South West"	20	181	17.8
"28645"	"E01029397"	"Cannock Chase 013D"	"E07000192"	"Cannock Chase"	"West Midlands"	29	123	12
"28726"	"E01029479"	"Lichfield 002C"	"E07000194"	"Lichfield"	"West Midlands"	15	54	5.3
"28801"	"E01029556"	"Newcastle-under-Lyme 005E"	"E07000195"	"Newcastle-under-Lyme"	"West Midlands"	85	160	14.7
"28815"	"E01029570"	"Newcastle-under-Lyme 016B"	"E07000195"	"Newcastle-under-Lyme"	"West Midlands"	14	164	16.2
"28945"	"E01029701"	"Stafford 010E"	"E07000197"	"Stafford"	"West Midlands"	109	272	24.5
"29079"	"E01029835"	"Tamworth 002A"	"E07000199"	"Tamworth"	"West Midlands"	31	125	12.1
"29136"	"E01029893"	"Babergh 004B"	"E07000200"	"Babergh"	"East of England"	5	71	7.1
"29144"	"E01029901"	"Babergh 003B"	"E07000200"	"Babergh"	"East of England"	15	113	11.1
"29169"	"E01029927"	"Forest Heath 001B"	"E07000201"	"Forest Heath"	"East of England"	6	84	8.4
"29171"	"E01029929"	"Forest Heath 001D"	"E07000201"	"Forest Heath"	"East of England"	8	67	6.7
"29182"	"E01029947"	"Forest Heath 004E"	"E07000201"	"Forest Heath"	"East of England"	57	68	6.4
"29217"	"E01029985"	"Ipswich 010B"	"E07000202"	"Ipswich"	"East of England"	66	141	13.2
"29254"	"E01030024"	"Ipswich 006C"	"E07000202"	"Ipswich"	"East of England"	49	175	16.7
"29278"	"E01030048"	"Mid Suffolk 007A"	"E07000203"	"Mid Suffolk"	"East of England"	17	104	10.2
"29311"	"E01030082"	"Mid Suffolk 003B"	"E07000203"	"Mid Suffolk"	"East of England"	124	133	11.8
"29334"	"E01030106"	"St Edmundsbury 014B"	"E07000204"	"St Edmundsbury"	"East of England"	10	45	4.5
"29378"	"E01030152"	"Suffolk Coastal 004A"	"E07000205"	"Suffolk Coastal"	"East of England"	30	114	11.1
"29401"	"E01030179"	"Suffolk Coastal 009A"	"E07000205"	"Suffolk Coastal"	"East of England"	4	30	3
"29431"	"E01030211"	"Suffolk Coastal 008D"	"E07000205"	"Suffolk Coastal"	"East of England"	93	160	14.6
"29578"	"E01030359"	"Elmbridge 007C"	"E07000207"	"Elmbridge"	"South East"	53	74	7
"29619"	"E01030401"	"Epsom and Ewell 005C"	"E07000208"	"Epsom and Ewell"	"South East"	16	76	7.5
"29629"	"E01030411"	"Epsom and Ewell 008B"	"E07000208"	"Epsom and Ewell"	"South East"	77	89	8.3
"29742"	"E01030524"	"Mole Valley 008A"	"E07000210"	"Mole Valley"	"South East"	14	65	6.4
"29787"	"E01030569"	"Reigate and Banstead 004E"	"E07000211"	"Reigate and Banstead"	"South East"	26	80	7.8
"30067"	"E01030850"	"Tandridge 004D"	"E07000215"	"Tandridge"	"South East"	32	52	5
"30207"	"E01030991"	"Woking 008D"	"E07000217"	"Woking"	"South East"	32	37	3.6
"30379"	"E01031168"	"Rugby 006B"	"E07000220"	"Rugby"	"West Midlands"	130	188	16.6
"30423"	"E01031212"	"Stratford-on-Avon 014B"	"E07000221"	"Stratford-on-Avon"	"West Midlands"	85	151	13.9
"30441"	"E01031231"	"Stratford-on-Avon 009D"	"E07000221"	"Stratford-on-Avon"	"West Midlands"	3	116	11.6
"30478"	"E01031268"	"Warwick 014D"	"E07000222"	"Warwick"	"West Midlands"	61	70	6.6
"30494"	"E01031285"	"Warwick 007C"	"E07000222"	"Warwick"	"West Midlands"	21	94	9.2
"30564"	"E01031356"	"Adur 005A"	"E07000223"	"Adur"	"South East"	36	53	5.1
"30565"	"E01031357"	"Adur 005B"	"E07000223"	"Adur"	"South East"	36	43	4.2
"30596"	"E01031388"	"Arun 005A"	"E07000224"	"Arun"	"South East"	65	69	6.5
"30685"	"E01031477"	"Chichester 006A"	"E07000225"	"Chichester"	"South East"	2	132	13.2
"30691"	"E01031483"	"Chichester 008B"	"E07000225"	"Chichester"	"South East"	6	57	5.7
"30717"	"E01031509"	"Chichester 006D"	"E07000225"	"Chichester"	"South East"	4	89	8.9
"30881"	"E01031676"	"Horsham 001D"	"E07000227"	"Horsham"	"South East"	53	119	11.3
"30991"	"E01031787"	"Worthing 011A"	"E07000229"	"Worthing"	"South East"	86	138	12.7
"30992"	"E01031788"	"Worthing 011B"	"E07000229"	"Worthing"	"South East"	12	131	13
"30993"	"E01031789"	"Worthing 011C"	"E07000229"	"Worthing"	"South East"	26	128	12.5
"30995"	"E01031791"	"Worthing 008A"	"E07000229"	"Worthing"	"South East"	3	130	13
"31058"	"E01031854"	"Wiltshire 026B"	"E06000054"	"Wiltshire"	"South West"	53	75	7.1
"31065"	"E01031861"	"Wiltshire 019A"	"E06000054"	"Wiltshire"	"South West"	53	84	8
"31104"	"E01031903"	"Wiltshire 016D"	"E06000054"	"Wiltshire"	"South West"	28	58	5.6
"31202"	"E01032004"	"Wiltshire 054B"	"E06000054"	"Wiltshire"	"South West"	36	113	10.9
"31209"	"E01032011"	"Wiltshire 057B"	"E06000054"	"Wiltshire"	"South West"	55	65	6.2
"31291"	"E01032094"	"Wiltshire 035C"	"E06000054"	"Wiltshire"	"South West"	42	109	10.5
"31314"	"E01032117"	"Wiltshire 040C"	"E06000054"	"Wiltshire"	"South West"	47	58	5.5
"31326"	"E01032130"	"Bromsgrove 013A"	"E07000234"	"Bromsgrove"	"West Midlands"	122	128	11.4
"31353"	"E01032157"	"Bromsgrove 011B"	"E07000234"	"Bromsgrove"	"West Midlands"	13	89	8.8
"31485"	"E01032295"	"Worcester 013C"	"E07000237"	"Worcester"	"West Midlands"	133	182	16
"31533"	"E01032343"	"Wychavon 014A"	"E07000238"	"Wychavon"	"West Midlands"	112	178	16
"31549"	"E01032359"	"Wychavon 003A"	"E07000238"	"Wychavon"	"West Midlands"	15	85	8.4
"31640"	"E01032450"	"Wyre Forest 004D"	"E07000239"	"Wyre Forest"	"West Midlands"	78	167	15.5
"31682"	"E01032492"	"Leeds 102I"	"E08000035"	"Leeds"	"Yorkshire and The Humber"	22	144	14.1
"31710"	"E01032520"	"Nottingham 028E"	"E06000018"	"Nottingham"	"East Midlands"	76	131	12.2
"31711"	"E01032522"	"Nottingham 028F"	"E06000018"	"Nottingham"	"East Midlands"	19	202	19.8
"31720"	"E01032531"	"Coventry 036E"	"E08000026"	"Coventry"	"West Midlands"	123	198	17.6
"31828"	"E01032642"	"West Dorset 001H"	"E07000052"	"West Dorset"	"South West"	54	81	7.7
"31869"	"E01032683"	"West Lindsey 001G"	"E07000142"	"West Lindsey"	"East Midlands"	21	117	11.5
"31885"	"E01032699"	"Wiltshire 007I"	"E06000054"	"Wiltshire"	"South West"	29	72	7
"31999"	"E01032830"	"Tonbridge and Malling 002G"	"E07000115"	"Tonbridge and Malling"	"South East"	10	79	7.8
"32067"	"E01032903"	"Wirral 010F"	"E08000015"	"Wirral"	"North West"	68	183	17.1
"32081"	"E01032922"	"Oldham 020E"	"E08000004"	"Oldham"	"North West"	60	93	8.8
"32163"	"E01033006"	"Leeds 063E"	"E08000035"	"Leeds"	"Yorkshire and The Humber"	44	311	29.8
"32202"	"E01033051"	"Tendring 002F"	"E07000076"	"Tendring"	"East of England"	84	100	9.2
"32223"	"E01033072"	"Lancaster 016I"	"E07000121"	"Lancaster"	"North West"	59	84	7.9
"32354"	"E01033216"	"Stoke-on-Trent 016G"	"E06000021"	"Stoke-on-Trent"	"West Midlands"	153	193	16.7
"32367"	"E01033233"	"Exeter 001F"	"E07000041"	"Exeter"	"South West"	10	98	9.7
"32411"	"E01033279"	"Sheffield 076F"	"E08000019"	"Sheffield"	"Yorkshire and The Humber"	39	112	10.8
"32413"	"E01033281"	"Rossendale 004G"	"E07000125"	"Rossendale"	"North West"	101	143	13
"32419"	"E01033289"	"Cornwall 007E"	"E06000052"	"Cornwall"	"South West"	36	129	12.5
